,gain,column_name
124,24538.6198271513,ext_shallow_instlamount_892A
125,24623.305755972862,ext_shallow_totalamount_881A
126,24793.82412815094,int_shallow_classificationofcontr_400M
127,24862.032998025417,ext_shallow_totalamount_503A
128,26497.766008019447,ext_shallow_dpd_550P
129,26616.638658821583,past_shallow_isbidproduct_390L
130,26660.98804575205,ext_shallow_overdueamountmaxdatemonth_494T
131,28012.26298123598,ext_shallow_debtpastduevalue_732A
132,28195.6501172781,static_base_clientscnt12m_3712952L
133,28425.62738454342,ext_depth_pmts_dpdvalue_108P
134,28539.91201388836,int_shallow_outstandingamount_354A
135,28742.04501146078,ext_shallow_installmentamount_833A
136,28887.61863029003,ext_shallow_dpdmaxdatemonth_804T
137,29151.1466588974,ext_shallow_dpdmax_851P
138,29284.732778549194,int_shallow_numberofoutstandinstls_520L
139,30149.64573121071,static_base_lastrejectreasonclient_4145040M
140,30180.3402069211,ext_shallow_contractmaturitydate_151D
141,30264.23406368494,person_shallow_personindex_1023L
142,32000.45422768593,static_base_payvacationpostpone_4187118D
143,33117.61269712448,static_base_lastapprcommoditycat_1041M
144,34227.00846904516,static_base_actualdpdtolerance_344P
145,35256.622514128685,person_depth_empls_economicalst_849M
146,36125.09428477287,ext_depth_pmts_date_1107D
147,36430.31480586529,ext_shallow_contractdate_551D
148,37393.67038220167,person_shallow_contaddr_district_15M
149,38373.45630192757,person_shallow_registaddr_district_1083M
150,39489.0105329752,other_shallow_amtdepositoutgoing_4809442A
151,39699.51049810648,static_base_annuitynextmonth_57A
152,42286.93660104275,other_shallow_amtdepositbalance_4809441A
153,44170.277202904224,static_base_paytype1st_925L
154,44329.13034784794,person_depth_conts_role_79M
155,44888.76918029785,static_base_sellerplacescnt_216L
156,45498.338373064995,static_base_interestrategrace_34L
157,45659.3943721056,other_shallow_amtdebitoutgoing_4809440A
158,46335.94224178791,person_shallow_num_group1
159,46642.66347539425,other_shallow_amtdebitincoming_4809443A
160,49917.519855856895,static_base_homephncnt_628L
161,49926.82033735514,static_base_applicationscnt_867L
162,50134.671224713326,past_depth_cacccardblochreas_147M
163,51129.737674057484,int_shallow_purposeofcred_874M
164,51251.83657562733,static_base_lastdependentsnum_448L
165,54788.71718376875,past_shallow_credacc_status_367L
166,56891.318424999714,deposit_shallow_num_group1
167,57834.07783180475,ext_depth_num_group2
168,61280.49852734804,static_base_numinstpaidearly_338L
169,62867.287291288376,static_base_numactivecredschannel_414L
170,63065.021238565445,past_depth_num_group2
171,63409.176472485065,static_base_numinstpaidlate1d_3546852L
172,64484.47939431667,person_shallow_safeguarantyflag_411L
173,64989.47912287712,past_shallow_cancelreason_3545846M
174,65589.64781069756,past_depth_credacc_cards_status_52L
175,67526.23929297924,past_shallow_inittransactioncode_279L
176,67675.72594642639,past_depth_conts_type_509L
177,70228.39861643314,past_shallow_credacc_transactions_402L
178,70944.19724279642,static_base_maxdpdlast3m_392P
179,71768.88705962896,int_shallow_totaloutstanddebtvalue_668A
180,73168.50986647606,static_base_numinstpaidearly5dest_4493211L
181,73206.12875986099,int_shallow_num_group1
182,74355.56517386436,static_base_numinstpaidearlyest_4493214L
183,75177.8451064825,person_depth_addres_zip_823M
184,77360.49847990274,card_shallow_num_group1
185,78031.77227836847,static_base_numinstregularpaid_973L
186,79946.71335202456,static_base_currdebtcredtyperange_828A
187,80338.66863960028,person_depth_num_group2
188,80783.74934327602,int_shallow_numberofcontrsvalue_258L
189,81511.53105348349,static_base_lastrejectreason_759M
190,81993.12786257267,past_shallow_postype_4733339M
191,83264.07696610689,static_base_numinstpaidearly5dobd_4499205L
192,83636.74728232622,person_depth_addres_district_368M
193,83728.719604671,static_base_previouscontdistrict_112M
194,83862.31741327047,past_shallow_credtype_587L
195,84334.8317040205,static_base_isdebitcard_729L
196,84718.92537117004,int_shallow_interestrate_508L
197,85313.95663505793,person_shallow_contaddr_zipcode_807M
198,86944.40175843239,person_shallow_registaddr_zipcode_184M
199,88473.15728151798,deposit_shallow_contractenddate_991D
200,90719.2492274046,static_base_equalityempfrom_62L
201,92663.26484918594,int_shallow_contractst_964M
202,93326.23291325569,static_base_numinstpaidearly3dest_4493216L
203,95281.84167987108,int_shallow_periodicityofpmts_1102L
204,96654.72663652897,int_depth_num_group1
205,96908.39270544052,static_base_lastst_736L
206,97329.388243258,person_shallow_mainoccupationinc_384A
