,gain,column_name
127,17115.985569868237,ext_shallow_debtvalue_227A
128,17303.467743754387,int_shallow_periodicityofpmts_837L
129,18155.571630999446,other_shallow_amtdebitoutgoing_4809440A
130,19002.27611798048,static_base_clientscnt6m_3712949L
131,19821.821094229817,int_shallow_classificationofcontr_400M
132,19839.781254321337,static_base_applicationscnt_464L
133,20121.07315056026,static_base_numinstpaidearly5dobd_4499205L
134,20531.726586967707,ext_shallow_contractst_516M
135,20815.95054204762,person_depth_empls_economicalst_849M
136,20861.915302589536,past_shallow_isbidproduct_390L
137,21331.63741176948,static_base_numinstpaidearlyest_4493214L
138,21820.370464473963,ext_shallow_totalamount_881A
139,22737.616147056222,int_shallow_interestrate_508L
140,23136.69503735006,ext_shallow_contractmaturitydate_151D
141,23435.27623103559,int_shallow_overdueamount_31A
142,23591.85980820656,static_base_clientscnt_533L
143,23858.764800578356,static_base_inittransactioncode_186L
144,25359.817797645926,static_base_credtype_322L
145,26183.105897292495,person_depth_conts_role_79M
146,27346.029665209353,ext_depth_pmts_date_1107D
147,27632.638617560267,static_base_clientscnt_1071L
148,28209.333461008966,ext_shallow_totalamount_503A
149,28473.894024662673,ext_shallow_debtpastduevalue_732A
150,28825.9983176589,static_base_disbursementtype_67L
151,29146.211406856775,static_base_applicationscnt_1086L
152,30436.13186661899,ext_shallow_instlamount_892A
153,31418.428553938866,ext_shallow_dpd_550P
154,31480.751579388976,static_base_numnotactivated_1143L
155,31834.353060290217,static_base_numcontrs3months_479L
156,32398.285893395543,static_base_clientscnt_887L
157,32654.6915127635,static_base_clientscnt12m_3712952L
158,32889.80100400746,ext_shallow_lastupdate_260D
159,32961.22893448174,static_base_payvacationpostpone_4187118D
160,33426.573010630906,deposit_shallow_contractenddate_991D
161,33576.08337727189,person_shallow_empl_employedtotal_800L
162,33632.419426590204,static_base_numinstregularpaidest_4493210L
163,33754.7957085073,ext_shallow_installmentamount_833A
164,35249.181123778224,static_base_numinstpaid_4499208L
165,37461.93309620023,static_base_numinstpaidearly_338L
166,38566.15956220031,int_depth_collater_typofvalofguarant_407M
167,39585.86801481247,static_base_numinstlswithdpd5_4187116L
168,39968.33851788193,ext_shallow_contractdate_551D
169,40475.04344415665,person_shallow_contaddr_smempladdr_334L
170,41450.902447013184,person_shallow_isreference_387L
171,43841.289915941656,other_shallow_amtdepositoutgoing_4809442A
172,44089.84603066719,ext_depth_pmts_dpdvalue_108P
173,44292.857952673454,static_base_equalitydataagreement_891L
174,44710.713954910636,static_base_numinstpaidearly3dest_4493216L
175,46168.076752871275,ext_shallow_dpdmax_851P
176,49194.50319138169,static_base_numinstregularpaid_973L
177,49313.77743051946,past_depth_conts_type_509L
178,50022.60052083433,int_shallow_num_group1
179,50560.51854227111,int_shallow_purposeofcred_426M
180,51323.17846292257,int_shallow_purposeofcred_874M
181,51630.3740452528,static_base_sellerplacecnt_915L
182,51689.89822129905,static_base_numinstpaidlastcontr_4325080L
183,52144.094176121056,static_base_maxdpdlast3m_392P
184,52868.11158284545,past_shallow_childnum_21L
185,55550.41320204735,deposit_shallow_openingdate_313D
186,55569.27859561145,other_shallow_amtdepositbalance_4809441A
187,55792.172489762306,static_base_numinstls_657L
188,55799.68457517028,int_shallow_totaldebtoverduevalue_718A
189,56988.27665820904,ext_depth_num_group2
190,59866.990908011794,person_shallow_empladdr_district_926M
191,60201.89635922015,static_base_mindbdtollast24m_4525191P
192,61296.89447308332,card_shallow_openingdate_857D
193,61704.736968666315,static_base_avgdbdtollast24m_4525197P
194,63396.00371192396,static_base_numinstpaidlate1d_3546852L
195,65033.32663874328,static_base_maxdbddpdlast1m_3658939P
196,65505.40323288739,static_base_avgdbddpdlast3m_4187120P
197,65730.73299822211,int_shallow_prolongationcount_1120L
198,65988.84936596453,int_shallow_numberofcontrsvalue_258L
199,66886.42832264304,static_base_numinstmatpaidtearly2d_4499204L
200,67796.99139770865,static_base_lastrejectcommoditycat_161M
201,68647.92016915977,static_base_lastapprcommoditycat_1041M
202,69152.86617255211,static_base_sellerplacescnt_216L
203,73020.19760739803,reg_b_num_group1
204,74947.20596457273,int_shallow_numberofinstls_229L
205,76501.32030119002,static_base_maxdpdinstlnum_3546846P
206,77691.67549631,int_depth_num_group1
207,78247.43677723408,static_base_numinstpaidearly3d_3546850L
208,78858.76813752204,static_base_applicationscnt_867L
209,82990.4592089653,static_base_maxdbddpdtollast6m_4187119P
210,83003.15046646446,static_base_homephncnt_628L
211,84336.99581783172,past_shallow_credacc_maxhisbal_375A
212,84424.59342971444,ext_shallow_residualamount_1093A
213,85117.58913502097,int_shallow_contractst_964M
214,88602.67776696384,past_shallow_cancelreason_3545846M
215,90296.90568874776,static_base_cntincpaycont9m_3716944L
216,91537.20997775346,static_base_lastcancelreason_561M
217,92375.41581333429,static_base_avglnamtstart24m_4525187A
218,94362.74679960683,reg_b_deductiondate_4917603D
219,95638.72145318985,static_base_numinsttopaygrest_4493213L
220,97036.41238512844,past_depth_num_group2
221,99084.9707595408,static_base_numinstlsallpaid_934L
222,100144.83966380358,int_depth_pmts_month_706T
223,101009.51084549725,static_base_numinstlallpaidearly3d_817L
224,101880.23470233381,person_depth_num_group1
225,101952.15063804388,static_base_validfrom_1069D
226,106821.88299661875,static_base_lastst_736L
227,109062.24464004487,static_base_maxannuity_4075009A
228,111170.30992428027,int_depth_pmts_year_507T
229,113418.971727252,int_shallow_overdueamountmaxdatemonth_284T
230,119818.74327674694,person_shallow_education_927M
231,121507.13189575076,static_base_numinstunpaidmaxest_4493212L
232,122345.69871311635,int_shallow_overdueamountmaxdatemonth_365T
233,122548.60985755175,int_shallow_numberofoverdueinstls_725L
234,123175.16790255904,static_base_numincomingpmts_3546848L
235,125283.52787989378,int_shallow_numberofinstls_320L
236,126978.80397104472,past_shallow_credacc_minhisbal_90A
237,127396.53682762384,person_shallow_contaddr_district_15M
238,127471.22611248493,past_shallow_isdebitcard_527L
239,127629.75938822329,static_base_maxdpdlast6m_474P
240,128396.2544870004,static_base_mindbddpdlast24m_3658935P
241,129096.35340283066,static_base_avgdbddpdlast24m_3658932P
242,131864.00003839284,past_shallow_revolvingaccount_394A
243,132951.1800083816,int_shallow_overdueamountmaxdateyear_994T
244,135084.50784538686,int_shallow_dpdmaxdateyear_896T
245,135215.34966602921,int_shallow_overdueamountmaxdateyear_2T
246,135740.7760548666,int_shallow_dpdmaxdatemonth_89T
247,135781.27706290781,past_shallow_familystate_726L
248,137992.60372632742,person_shallow_registaddr_district_1083M
249,138699.48160876334,static_base_numinstlswithoutdpd_562L
250,141005.27973772585,reg_b_name_4917606M
251,141597.55138690025,int_shallow_dpdmaxdatemonth_442T
252,144306.8151885271,int_shallow_contractst_545M
253,147162.63441050053,int_shallow_lastupdate_1112D
254,147944.7171766311,int_depth_pmts_month_158T
255,151028.9769937247,static_base_numinsttopaygr_769L
256,152612.35842646658,person_shallow_empl_industry_691L
257,153812.33159936452,past_shallow_credacc_actualbalance_314A
258,154260.46027554572,reg_b_amount_4917619A
259,154579.12413556315,static_base_maxlnamtstart6m_4525199A
260,155702.90041031688,int_shallow_numberofoutstandinstls_59L
261,156071.82646529377,static_base_monthsannuity_845L
262,156258.61163564026,static_base_numinstunpaidmax_3546851L
263,157702.39368152618,reg_c_num_group1
264,163140.28449005634,int_shallow_refreshdate_3813885D
265,163768.36571142823,static_base_totinstallast1m_4525188A
266,163970.87235534936,static_base_avgpmtlast12m_4525200A
267,164544.45744121075,static_base_avgmaxdpdlast9m_3716943P
268,166536.3599249646,ext_shallow_dpd_733P
269,167090.24391389266,static_base_maxpmtlast3m_4525190A
270,168922.55817113817,int_shallow_financialinstitution_382M
271,169431.47060757875,int_shallow_numberofcontrsvalue_358L
272,170833.0992467478,deposit_shallow_amount_416A
273,171892.96764313616,past_shallow_district_544M
274,174360.86902222782,static_base_annuitynextmonth_57A
275,175413.5293405205,int_depth_num_group2
276,181074.11075130105,static_base_numactivecredschannel_414L
277,183965.60762389004,static_base_maininc_215A
278,188613.29369104654,person_shallow_personindex_1023L
279,200510.1193409711,int_shallow_overdueamount_659A
280,202955.4548907876,static_base_dtlastpmtallstes_4499206D
281,207340.14923381805,static_base_maxoutstandbalancel12m_4187113A
282,210584.9162243046,static_base_sumoutstandtotalest_4493215A
283,214007.78389918804,person_shallow_num_group1
284,219667.5564762801,static_base_maxdpdtolerance_374P
285,220701.12704613805,int_shallow_contractsum_5085717L
286,220732.82225501537,static_base_downpmt_116A
287,220973.32133056968,person_shallow_familystate_447L
288,221584.18654422462,static_base_numrejects9m_859L
289,222636.48016680777,person_shallow_relationshiptoclient_415T
290,223900.12309984863,static_base_maxdpdfrom6mto36m_3546853P
291,224104.6914100293,static_base_maxdpdlast9m_1059P
292,224299.33133036643,static_base_avginstallast24m_3658937A
293,224368.2351245731,int_shallow_totaldebtoverduevalue_178A
294,224671.60355342925,static_base_avgdpdtolclosure24_3658938P
295,225451.7735714838,int_shallow_nominalrate_281L
296,227206.69566693157,int_shallow_nominalrate_498L
297,229826.6530783996,static_base_lastrejectreasonclient_4145040M
298,232272.50194188952,int_shallow_credlmt_230A
299,234587.15348542482,static_base_lastactivateddate_801D
300,238399.3193037361,person_shallow_relationshiptoclient_642T
301,239175.36036711186,static_base_currdebtcredtyperange_828A
302,240069.8331160769,past_shallow_byoccupationinc_3656910L
303,241358.97515147924,static_base_posfpd10lastmonth_333P
304,243677.2636056505,static_base_datefirstoffer_1144D
305,246273.22883698344,static_base_numinstlswithdpd10_728L
306,250645.1777710244,int_shallow_instlamount_852A
307,251976.71535304515,static_base_avgoutstandbalancel6m_4187114A
308,255308.35437826067,static_base_daysoverduetolerancedd_3976961L
309,256290.36725521088,past_shallow_postype_4733339M
310,259998.7026661113,past_shallow_dateactivated_425D
